"","Entity","Code","Year","Deaths - Sex: all - Age: all - Variant: estimates","Deaths - Sex: all - Age: all - Variant: medium"
"1","Afghanistan","AFG",1955,277695,NA
"2","Afghanistan","AFG",1960,275239,NA
"3","Afghanistan","AFG",1965,281003,NA
"4","Afghanistan","AFG",1970,288979,NA
"5","Afghanistan","AFG",1975,295301,NA
"6","Afghanistan","AFG",1980,316937,NA
"7","Afghanistan","AFG",1985,314987,NA
"8","Afghanistan","AFG",1990,203514,NA
"9","Afghanistan","AFG",1995,230943,NA
"10","Afghanistan","AFG",2000,242535,NA
"11","Afghanistan","AFG",2005,241454,NA
"12","Afghanistan","AFG",2010,233308,NA
"13","Afghanistan","AFG",2015,248560,NA
"14","Afghanistan","AFG",2020,276683,NA
"15","Afghanistan","AFG",2021,295236,NA
"16","Africa (UN)",NA,1970,7384342,NA
"17","Africa (UN)",NA,1980,7986043,NA
"18","Africa (UN)",NA,1990,9278030,NA
"19","Africa (UN)",NA,1995,10080149,NA
"20","Africa (UN)",NA,2000,10614270,NA
"21","Africa (UN)",NA,2005,10866028,NA
"22","Africa (UN)",NA,2010,10652256,NA
"23","Africa (UN)",NA,2015,10646590,NA
"24","Africa (UN)",NA,2020,11390416,NA
"25","Africa (UN)",NA,2021,12038022,NA
"26","Albania","ALB",1955,30230,NA
"27","Albania","ALB",1960,28400,NA
"28","Albania","ALB",1965,24313,NA
"29","Albania","ALB",1970,20896,NA
"30","Albania","ALB",1975,18898,NA
"31","Albania","ALB",1980,17822,NA
"32","Albania","ALB",1985,18453,NA
"33","Albania","ALB",1990,18349,NA
"34","Albania","ALB",1995,18402,NA
"35","Albania","ALB",2000,18628,NA
"36","Albania","ALB",2005,19280,NA
"37","Albania","ALB",2010,20583,NA
"38","Albania","ALB",2015,22954,NA
"39","Albania","ALB",2020,30970,NA
"40","Albania","ALB",2021,32392,NA
"41","Algeria","DZA",1955,249176,NA
"42","Algeria","DZA",1960,271718,NA
"43","Algeria","DZA",1965,287369,NA
"44","Algeria","DZA",1970,302337,NA
"45","Algeria","DZA",1975,281063,NA
"46","Algeria","DZA",1980,254416,NA
"47","Algeria","DZA",1985,167522,NA
"48","Algeria","DZA",1990,146283,NA
"49","Algeria","DZA",1995,162008,NA
"50","Algeria","DZA",2000,155079,NA
"51","Algeria","DZA",2005,163225,NA
"52","Algeria","DZA",2010,170579,NA
"53","Algeria","DZA",2015,175550,NA
"54","Algeria","DZA",2020,234547,NA
"55","Algeria","DZA",2021,200842,NA
"56","American Samoa","ASM",1970,152,NA
"57","American Samoa","ASM",1975,155,NA
"58","American Samoa","ASM",1980,163,NA
"59","American Samoa","ASM",1985,185,NA
"60","American Samoa","ASM",1990,235,NA
"61","American Samoa","ASM",1995,239,NA
"62","American Samoa","ASM",2000,262,NA
"63","American Samoa","ASM",2005,258,NA
"64","American Samoa","ASM",2010,276,NA
"65","American Samoa","ASM",2015,285,NA
"66","American Samoa","ASM",2020,310,NA
"67","American Samoa","ASM",2021,311,NA
"68","Andorra","AND",1965,76,NA
"69","Andorra","AND",1970,93,NA
"70","Andorra","AND",1975,119,NA
"71","Andorra","AND",1980,148,NA
"72","Andorra","AND",1985,206,NA
"73","Andorra","AND",1990,289,NA
"74","Andorra","AND",1995,387,NA
"75","Andorra","AND",2000,442,NA
"76","Andorra","AND",2005,524,NA
"77","Andorra","AND",2010,400,NA
"78","Andorra","AND",2015,424,NA
"79","Andorra","AND",2020,699,NA
"80","Andorra","AND",2021,642,NA
"81","Angola","AGO",1965,151491,NA
"82","Angola","AGO",1970,147634,NA
"83","Angola","AGO",1975,160539,NA
"84","Angola","AGO",1980,180325,NA
"85","Angola","AGO",1985,214612,NA
"86","Angola","AGO",1990,259679,NA
"87","Angola","AGO",1995,261584,NA
"88","Angola","AGO",2000,299381,NA
"89","Angola","AGO",2005,281595,NA
"90","Angola","AGO",2010,260700,NA
"91","Angola","AGO",2015,247967,NA
